combined_aircraft_type,total_accidents,total_fatal,total_severe_damage,fatal_accident_rate_%,severe_damage_rate_%
ROBINSON HELICOPTER R22 BETA,116,20.0,45.0,17.24137931034483,38.793103448275865
ROBINSON HELICOPTER R44,77,25.0,25.0,32.467532467532465,32.467532467532465
ROBINSON R-22,108,23.0,10.0,21.296296296296298,9.25925925925926
ROBINSON R-22 BETA,51,26.0,6.0,50.98039215686274,11.76470588235294
ROBINSON R-22B,74,8.0,4.0,10.81081081081081,5.405405405405405
ROBINSON R-44,45,41.0,13.0,91.11111111111111,28.888888888888886
ROBINSON R22,199,66.0,34.0,33.165829145728644,17.08542713567839
ROBINSON R22 BETA,149,32.0,17.0,21.476510067114095,11.409395973154362
ROBINSON R22B,48,15.0,7.0,31.25,14.583333333333334
ROBINSON R44,248,237.0,74.0,95.56451612903226,29.838709677419356
ROBINSON R44 II,33,30.0,17.0,90.9090909090909,51.515151515151516
ROBINSON R66,29,36.0,4.0,124.13793103448276,13.793103448275861
ROCKWELL S-2R,78,8.0,8.0,10.256410256410255,10.256410256410255
ROCKWELL S2R,32,2.0,2.0,6.25,6.25
RYAN NAVION,34,8.0,15.0,23.52941176470588,44.11764705882353
SCHWEIZER 269C,151,27.0,43.0,17.880794701986755,28.47682119205298
SCHWEIZER 269C-1,41,3.0,9.0,7.317073170731707,21.951219512195124
SCHWEIZER G-164B,92,6.0,10.0,6.521739130434782,10.869565217391305
SCHWEIZER SGS 2-33A,62,1.0,10.0,1.6129032258064515,16.129032258064516
SOCATA TBM 700,35,41.0,6.0,117.14285714285715,17.142857142857142
STINSON 108,86,8.0,28.0,9.30232558139535,32.55813953488372
STINSON 108-1,76,9.0,8.0,11.842105263157894,10.526315789473683
STINSON 108-2,72,17.0,24.0,23.61111111111111,33.33333333333333
STINSON 108-3,85,11.0,17.0,12.941176470588237,20.0
TAYLORCRAFT BC-12D,37,6.0,9.0,16.216216216216218,24.324324324324326
TAYLORCRAFT BC12-D,104,22.0,30.0,21.153846153846153,28.846153846153843
WACO UPF-7,38,5.0,7.0,13.157894736842104,18.421052631578945
WSK PZL MIELEC M-18A,32,5.0,4.0,15.625,12.5
