combined_aircraft_type
PIPER PA 46-350P
BEECH 1900D
BOEING 777
CESSNA 180J
PIPER PA-31T
CESSNA 140A
BOEING E75
MOONEY AIRCRAFT CORP. M20K
BEECH F35
BEECH 36
